fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Manajemen Bisnis,Perencanaan Bisnis,Indonesian,Understanding,Jelaskan perbedaan antara business plan dan business model canvas.,"Level: Understanding
Topik: Perencanaan Bisnis
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan antara business plan dan business model canvas.
Sistem Operasi,Introduction and Operating System Structure,Indonesian,Evaluating,Sebuah perusahaan memilih antara arsitektur OS berlapis dan desain modular kernel untuk sistem embedded mereka. Pendekatan mana yang lebih cocok untuk sistem yang memerlukan update dan kustomisasi secara berkala? Jelaskan alasan Anda.,"Level: Evaluating
Topik: Introduction and Operating System Structure
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah perusahaan memilih antara arsitektur OS berlapis dan desain modular kernel untuk sistem embedded mereka. Pendekatan mana yang lebih cocok untuk sistem yang memerlukan update dan kustomisasi secara berkala? Jelaskan alasan Anda.
Python,Python Context Managers,Indonesian,Analyzing,Bandingkan kelebihan dan kekurangan implementasi context manager menggunakan class dengan method __enter__ dan __exit__ versus menggunakan decorator @contextmanager.,"Level: Analyzing
Topik: Python Context Managers
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan kelebihan dan kekurangan implementasi context manager menggunakan class dengan method __enter__ dan __exit__ versus menggunakan decorator @contextmanager.
Database,ACID Properties,English,Understanding,Explain how the Isolation property prevents conflicts when multiple transactions access the same data simultaneously.,"Level: Understanding
Topik: ACID Properties
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how the Isolation property prevents conflicts when multiple transactions access the same data simultaneously.
Human Computer Interaction,Accessibility in Software,Indonesian,Applying,"Sebuah aplikasi mobile hanya menggunakan warna untuk menunjukkan error validasi form (merah untuk invalid, hijau untuk valid). Terapkan prinsip WCAG untuk mengidentifikasi masalah aksesibilitas dan usulkan solusinya.","Level: Applying
Topik: Accessibility in Software
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah aplikasi mobile hanya menggunakan warna untuk menunjukkan error validasi form (merah untuk invalid, hijau untuk valid). Terapkan prinsip WCAG untuk mengidentifikasi masalah aksesibilitas dan usulkan solusinya."
IT Project Management,Release Planning,Indonesian,Applying,"Tim Anda memiliki 5 fitur yang direncanakan untuk rilis berikutnya, tetapi testing mengungkapkan bug kritis pada 2 fitur. Tanggal rilis adalah 2 minggu lagi. Strategi release planning apa yang akan Anda terapkan untuk menangani situasi ini?","Level: Applying
Topik: Release Planning
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Tim Anda memiliki 5 fitur yang direncanakan untuk rilis berikutnya, tetapi testing mengungkapkan bug kritis pada 2 fitur. Tanggal rilis adalah 2 minggu lagi. Strategi release planning apa yang akan Anda terapkan untuk menangani situasi ini?"
Data Structures,Deque,English,Evaluating,"Compare the efficiency of implementing a deque using a circular array versus a doubly linked list. Which implementation would you recommend for a system with frequent insertions and deletions at both ends, and why?","Level: Evaluating
Topik: Deque
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Compare the efficiency of implementing a deque using a circular array versus a doubly linked list. Which implementation would you recommend for a system with frequent insertions and deletions at both ends, and why?"
Matematika Diskrit,GCD dan LCM,Indonesia,Applying,"Jika diketahui a · b dan gcd(a,b), tentukan nilai lcm(a,b).","Level: Applying
Topik: GCD dan LCM
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Jika diketahui a · b dan gcd(a,b), tentukan nilai lcm(a,b)."
Matematika Diskrit,GCD dan LCM,English,Evaluating,"Two methods exist for finding GCD: Euclidean algorithm and prime factorization. Which method would be more efficient for finding GCD(1071, 462)? Justify your choice.","Level: Evaluating
Topik: GCD dan LCM
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Two methods exist for finding GCD: Euclidean algorithm and prime factorization. Which method would be more efficient for finding GCD(1071, 462)? Justify your choice."
Manajemen Bisnis,"Market Analysis (TAM, SAM, SOM)",Indonesian,Understanding,"Jelaskan hubungan antara TAM, SAM, dan SOM dalam penentuan ukuran pasar.","Level: Understanding
Topik: Market Analysis (TAM, SAM, SOM)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Jelaskan hubungan antara TAM, SAM, dan SOM dalam penentuan ukuran pasar."
Machine Learning,Cross Validation,Indonesian,Analyzing,Bandingkan trade-off antara penggunaan 5-fold cross-validation dengan 10-fold cross-validation dari segi biaya komputasi dan varians dalam estimasi performa.,"Level: Analyzing
Topik: Cross Validation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan trade-off antara penggunaan 5-fold cross-validation dengan 10-fold cross-validation dari segi biaya komputasi dan varians dalam estimasi performa.
Software Engineering,Code Refactoring,Indonesian,Understanding,"Jelaskan mengapa refactoring sebaiknya dilakukan secara bertahap dalam langkah-langkah kecil, bukan dalam bentuk penulisan ulang skala besar.","Level: Understanding
Topik: Code Refactoring
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Jelaskan mengapa refactoring sebaiknya dilakukan secara bertahap dalam langkah-langkah kecil, bukan dalam bentuk penulisan ulang skala besar."
Python,Python Variables and Data Types,Indonesian,Analyzing,"Analisis apa yang terjadi ketika Anda melakukan operasi: result = '5' + 5. Mengapa ini menyebabkan error, dan bagaimana dynamic typing Python berhubungan dengan perilaku ini?","Level: Analyzing
Topik: Python Variables and Data Types
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Analisis apa yang terjadi ketika Anda melakukan operasi: result = '5' + 5. Mengapa ini menyebabkan error, dan bagaimana dynamic typing Python berhubungan dengan perilaku ini?"
Web Development,REST API Design,English,Evaluating,"Two API designs are proposed for updating user profiles: Design A uses PUT /users/{id} with full user object, Design B uses PATCH /users/{id} with partial updates. Which design is more appropriate for a mobile application with limited bandwidth? Justify your answer.","Level: Evaluating
Topik: REST API Design
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Two API designs are proposed for updating user profiles: Design A uses PUT /users/{id} with full user object, Design B uses PATCH /users/{id} with partial updates. Which design is more appropriate for a mobile application with limited bandwidth? Justify your answer."
Data Structures,Hash Table,Indonesian,Remembering,Apa fungsi utama dari hash function dalam hash table?,"Level: Remembering
Topik: Hash Table
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari hash function dalam hash table?
Business Intelligence,SQL for Business Intelligence,Indonesian,Understanding,Jelaskan perbedaan antara LEFT JOIN dan INNER JOIN ketika menggabungkan data dari beberapa tabel dalam konteks business intelligence.,"Level: Understanding
Topik: SQL for Business Intelligence
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan antara LEFT JOIN dan INNER JOIN ketika menggabungkan data dari beberapa tabel dalam konteks business intelligence.
Python,Python NamedTuple,English,Creating,"Design a data processing pipeline that uses NamedTuples to represent coordinate points (x, y, z) and includes methods to calculate distance between points and transform coordinates. Implement the solution with proper type hints.","Level: Creating
Topik: Python NamedTuple
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a data processing pipeline that uses NamedTuples to represent coordinate points (x, y, z) and includes methods to calculate distance between points and transform coordinates. Implement the solution with proper type hints."
IT Project Management,Change Management Process,English,Remembering,What are the five key stages in a typical change management process?,"Level: Remembering
Topik: Change Management Process
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the five key stages in a typical change management process?
Sistem Interaksi,Pengumpulan Data,Indonesian,Applying,Anda perlu memahami bagaimana pengguna berinteraksi dengan aplikasi mobile banking. Metode pengumpulan data apa yang akan Anda gunakan dan mengapa?,"Level: Applying
Topik: Pengumpulan Data
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Anda perlu memahami bagaimana pengguna berinteraksi dengan aplikasi mobile banking. Metode pengumpulan data apa yang akan Anda gunakan dan mengapa?
Algorithms,Big-O Notation,English,Understanding,Explain why O(n²) is considered less efficient than O(n log n) for large input sizes.,"Level: Understanding
Topik: Big-O Notation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why O(n²) is considered less efficient than O(n log n) for large input sizes.
Cloud Computing,AWS EC2,Indonesian,Applying,Aplikasi web Anda mengalami lonjakan traffic pada jam kerja (9 pagi - 5 sore) tetapi traffic minimal di malam hari. Model pricing EC2 mana yang akan Anda terapkan untuk mengoptimalkan biaya sambil mempertahankan performa?,"Level: Applying
Topik: AWS EC2
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Aplikasi web Anda mengalami lonjakan traffic pada jam kerja (9 pagi - 5 sore) tetapi traffic minimal di malam hari. Model pricing EC2 mana yang akan Anda terapkan untuk mengoptimalkan biaya sambil mempertahankan performa?
Machine Learning,Bias-Variance Tradeoff,English,Evaluating,"Two models are being considered for deployment: Model A has low bias but high variance, while Model B has moderate bias and moderate variance. Which model would you recommend for a medical diagnosis system where consistency is critical? Justify your decision.","Level: Evaluating
Topik: Bias-Variance Tradeoff
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Two models are being considered for deployment: Model A has low bias but high variance, while Model B has moderate bias and moderate variance. Which model would you recommend for a medical diagnosis system where consistency is critical? Justify your decision."
Manajemen Proyek TI,Project Scope Management,Indonesian,Remembering,Sebutkan lima proses utama dalam Project Scope Management menurut PMBOK.,"Level: Remembering
Topik: Project Scope Management
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebutkan lima proses utama dalam Project Scope Management menurut PMBOK.
